Cedula;Email;Apellido;Nombre;Max Carga;Materias
11671718;EVEGA@UNIMET.EDU.VE;VEGA;ENCARNACION;1;['FPTSP18']
11593482;IMUÑOZ@UNIMET.EDU.VE;MUÑOZ;IVAN;1;['FBTSP03']
25898922;MCAMPOS@UNIMET.EDU.VE;CAMPOS;MONTSERRAT;3;['FBTSP03', 'FPTSP14']
5420797;MPEÑA@UNIMET.EDU.VE;PEÑA;MARIA;2;['FBTSP03', 'FPTSP24']
20198198;SMENDEZ@UNIMET.EDU.VE;MENDEZ;SARA;1;['FBTSP03']
16329497;RRUBIO@UNIMET.EDU.VE;RUBIO;ROCIO;2;['FPTSP14']
21763943;IDURAN@UNIMET.EDU.VE;DURAN;IVAN;3;['FPTSP17', 'FPTSP19', 'FPTSP20', 'FPTSP23']
22477298;DFLORES@UNIMET.EDU.VE;FLORES;DAVID;1;['FPTSP22']
27712040;IBENITEZ@UNIMET.EDU.VE;BENITEZ;IVAN;1;['FPTSP22']
12504756;NVIDAL@UNIMET.EDU.VE;VIDAL;NURIA;1;['FPTSP22']
18148416;AMONTERO@UNIMET.EDU.VE;MONTERO;ANDRES;1;['FGESP01']
29384987;SMENDOZA@UNIMET.EDU.VE;MENDOZA;SARA;4;['BPTSP05', 'BPTSP06', 'FPTSP25']
24760089;JJIMENEZ@UNIMET.EDU.VE;JIMENEZ;JULIA;1;['BPTSP05']
16615153;ILORENZO@UNIMET.EDU.VE;LORENZO;IVAN;1;['BPTSP05']
15902683;CHIDALGO@UNIMET.EDU.VE;HIDALGO;CARMEN;1;['BPTSP05']
15481633;MPASCUAL@UNIMET.EDU.VE;PASCUAL;MONICA;1;['BPTSP05']
5337686;CVICENTE@UNIMET.EDU.VE;VICENTE;CARMEN;2;['BPTSP05', 'FBTSP04']
30494195;ACASTILLO@UNIMET.EDU.VE;CASTILLO;ALBA;1;['FGESP03']
5714135;MTORRES@UNIMET.EDU.VE;TORRES;MARIA;2;['FGESP03', 'FGESP04']
4503009;LGUERRERO@UNIMET.EDU.VE;GUERRERO;LAURA;1;['BPTSP06']
22878613;DCORTES@UNIMET.EDU.VE;CORTES;DANIEL;2;['BPTSP05', 'BPTSP06']
11260150;SLOPEZ@UNIMET.EDU.VE;LOPEZ;SANTIAGO;2;['FPTSP25']
